nflweek,rotat,date,kickoff,side,opp,awayhome,,,,,
12,Packers12,11/23/2025,1:00 PM,Packers,Vikings,home,,,,,
12,Chiefs12,11/23/2025,1:00 PM,Chiefs,Colts,home,,,,,
12,Titans12,11/23/2025,1:00 PM,Titans,Seahawks,home,,,,,
12,Cardinals12,11/23/2025,4:05 PM,Cardinals,Jaguars,home,,,,,
12,Raiders12,11/23/2025,4:05 PM,Raiders,Browns,home,,,,,
12,Cowboys12,11/23/2025,4:25 PM,Cowboys,Eagles,home,,,,,
12,Saints12,11/23/2025,4:25 PM,Saints,Falcons,home,,,,,
12,Rams12,11/23/2025,8:20 PM,Rams,Buccaneers,home,,,,,
12,49ers12,11/24/2025,8:15 PM,49ers,Panthers,home,,,,,
13,Lions13,11/27/2025,1:00 PM,Lions,Packers,home,,,,,
13,Cowboys13,11/27/2025,4:30 PM,Cowboys,Chiefs,home,,,,,
13,Ravens13,11/27/2025,8:20 PM,Ravens,Bengals,home,,,,,
13,Eagles13,11/28/2025,3:00 PM,Eagles,Bears,home,,,,,
13,Panthers13,11/30/2025,1:00 PM,Panthers,Rams,home,,,,,
13,Browns13,11/30/2025,1:00 PM,Browns,49ers,home,,,,,
13,Colts13,11/30/2025,1:00 PM,Colts,Texans,home,,,,,
13,Dolphins13,11/30/2025,1:00 PM,Dolphins,Saints,home,,,,,
13,Jets13,11/30/2025,1:00 PM,Jets,Falcons,home,,,,,
13,Buccaneers13,11/30/2025,1:00 PM,Buccaneers,Cardinals,home,,,,,
13,Titans13,11/30/2025,1:00 PM,Titans,Jaguars,home,,,,,
13,Seahawks13,11/30/2025,4:05 PM,Seahawks,Vikings,home,,,,,
13,Chargers13,11/30/2025,4:25 PM,Chargers,Raiders,home,,,,,
13,Steelers13,11/30/2025,4:25 PM,Steelers,Bills,home,,,,,
13,Commanders13,11/30/2025,8:20 PM,Commanders,Broncos,home,,,,,
13,Patriots13,12/1/2025,8:15 PM,Patriots,Giants,home,,,,,
14,Lions14,12/4/2025,8:15 PM,Lions,Cowboys,home,,,,,
14,Falcons14,12/7/2025,1:00 PM,Falcons,Seahawks,home,,,,,
14,Ravens14,12/7/2025,1:00 PM,Ravens,Steelers,home,,,,,
14,Browns14,12/7/2025,1:00 PM,Browns,Titans,home,,,,,
14,Packers14,12/7/2025,1:00 PM,Packers,Bears,home,,,,,
14,Jaguars14,12/7/2025,1:00 PM,Jaguars,Colts,home,,,,,
14,Vikings14,12/7/2025,1:00 PM,Vikings,Commanders,home,,,,,
14,Jets14,12/7/2025,1:00 PM,Jets,Dolphins,home,,,,,
14,Buccaneers14,12/7/2025,1:00 PM,Buccaneers,Saints,home,,,,,
14,Raiders14,12/7/2025,4:05 PM,Raiders,Broncos,home,,,,,
14,Cardinals14,12/7/2025,4:25 PM,Cardinals,Rams,home,,,,,
14,Bills14,12/7/2025,4:25 PM,Bills,Bengals,home,,,,,
14,Chiefs14,12/7/2025,8:20 PM,Chiefs,Texans,home,,,,,
14,Chargers14,12/8/2025,8:15 PM,Chargers,Eagles,home,,,,,
15,Buccaneers15,12/11/2025,8:15 PM,Buccaneers,Falcons,home,,,,,
15,Bears15,12/14/2025,1:00 PM,Bears,Browns,home,,,,,
15,Bengals15,12/14/2025,1:00 PM,Bengals,Ravens,home,,,,,
15,Texans15,12/14/2025,1:00 PM,Texans,Cardinals,home,,,,,
15,Jaguars15,12/14/2025,1:00 PM,Jaguars,Jets,home,,,,,
15,Chiefs15,12/14/2025,1:00 PM,Chiefs,Chargers,home,,,,,
15,Patriots15,12/14/2025,1:00 PM,Patriots,Bills,home,,,,,
15,Giants15,12/14/2025,1:00 PM,Giants,Commanders,home,,,,,
15,Eagles15,12/14/2025,1:00 PM,Eagles,Raiders,home,,,,,
15,Broncos15,12/14/2025,4:25 PM,Broncos,Packers,home,,,,,
15,Rams15,12/14/2025,4:25 PM,Rams,Lions,home,,,,,
15,Saints15,12/14/2025,4:25 PM,Saints,Panthers,home,,,,,
15,Seahawks15,12/14/2025,4:25 PM,Seahawks,Colts,home,,,,,
15,49ers15,12/14/2025,4:25 PM,49ers,Titans,home,,,,,
15,Cowboys15,12/14/2025,8:20 PM,Cowboys,Vikings,home,,,,,
15,Steelers15,12/15/2025,8:15 PM,Steelers,Dolphins,home,,,,,
16,Seahawks16,12/18/2025,8:15 PM,Seahawks,Rams,home,,,,,
16,Ravens16,12/21/2025,1:00 PM,Ravens,Patriots,home,,,,,
16,Panthers16,12/21/2025,1:00 PM,Panthers,Buccaneers,home,,,,,
16,Browns16,12/21/2025,1:00 PM,Browns,Bills,home,,,,,
16,Cowboys16,12/21/2025,1:00 PM,Cowboys,Chargers,home,,,,,
16,Saints16,12/21/2025,1:00 PM,Saints,Jets,home,,,,,
16,Giants16,12/21/2025,1:00 PM,Giants,Vikings,home,,,,,
16,Titans16,12/21/2025,1:00 PM,Titans,Chiefs,home,,,,,
16,Cardinals16,12/21/2025,4:05 PM,Cardinals,Falcons,home,,,,,
16,Broncos16,12/21/2025,4:05 PM,Broncos,Jaguars,home,,,,,
16,Lions16,12/21/2025,4:25 PM,Lions,Steelers,home,,,,,
