nflweek,rotat,date,kickoff,side,opp,awayhome
9,Rams9,11/3/2024,16:25:00,Rams,Seahawks,away
9,Eagles9,11/3/2024,20:20:00,Eagles,Jaguars,home
9,Jaguars9,11/3/2024,20:20:00,Jaguars,Eagles,away
9,Chiefs9,11/4/2024,20:15:00,Chiefs,Buccaneers,home
9,Buccaneers9,11/4/2024,20:15:00,Buccaneers,Chiefs,away
10,Ravens10,11/7/2024,20:15:00,Ravens,Bengals,home
10,Bengals10,11/7/2024,20:15:00,Bengals,Ravens,away
10,Panthers10,11/10/2024,9:30:00,Panthers,Giants,home
10,Giants10,11/10/2024,9:30:00,Giants,Panthers,away
10,Bears10,11/10/2024,13:00:00,Bears,Patriots,home
10,Colts10,11/10/2024,13:00:00,Colts,Bills,home
10,Jaguars10,11/10/2024,13:00:00,Jaguars,Vikings,home
10,Chiefs10,11/10/2024,13:00:00,Chiefs,Broncos,home
10,Saints10,11/10/2024,13:00:00,Saints,Falcons,home
10,Buccaneers10,11/10/2024,13:00:00,Buccaneers,49ers,home
10,Commanders10,11/10/2024,13:00:00,Commanders,Steelers,home
10,Patriots10,11/10/2024,13:00:00,Patriots,Bears,away
10,Bills10,11/10/2024,13:00:00,Bills,Colts,away
10,Vikings10,11/10/2024,13:00:00,Vikings,Jaguars,away
10,Broncos10,11/10/2024,13:00:00,Broncos,Chiefs,away
10,Falcons10,11/10/2024,13:00:00,Falcons,Saints,away
10,49ers10,11/10/2024,13:00:00,49ers,Buccaneers,away
10,Steelers10,11/10/2024,13:00:00,Steelers,Commanders,away
10,Chargers10,11/10/2024,16:05:00,Chargers,Titans,home
10,Titans10,11/10/2024,16:05:00,Titans,Chargers,away
10,Cardinals10,11/10/2024,16:25:00,Cardinals,Jets,home
10,Cowboys10,11/10/2024,16:25:00,Cowboys,Eagles,home
10,Jets10,11/10/2024,16:25:00,Jets,Cardinals,away
10,Eagles10,11/10/2024,16:25:00,Eagles,Cowboys,away
10,Texans10,11/10/2024,20:20:00,Texans,Lions,home
10,Lions10,11/10/2024,20:20:00,Lions,Texans,away
10,Rams10,11/11/2024,20:15:00,Rams,Dolphins,home
10,Dolphins10,11/11/2024,20:15:00,Dolphins,Rams,away
11,Eagles11,11/14/2024,20:15:00,Eagles,Commanders,home
11,Commanders11,11/14/2024,20:15:00,Commanders,Eagles,away
11,Bears11,11/17/2024,13:00:00,Bears,Packers,home
11,Lions11,11/17/2024,13:00:00,Lions,Jaguars,home
11,Dolphins11,11/17/2024,13:00:00,Dolphins,Raiders,home
11,Patriots11,11/17/2024,13:00:00,Patriots,Rams,home
11,Saints11,11/17/2024,13:00:00,Saints,Browns,home
11,Steelers11,11/17/2024,13:00:00,Steelers,Ravens,home
11,Titans11,11/17/2024,13:00:00,Titans,Vikings,home
11,Packers11,11/17/2024,13:00:00,Packers,Bears,away
11,Jaguars11,11/17/2024,13:00:00,Jaguars,Lions,away
11,Raiders11,11/17/2024,13:00:00,Raiders,Dolphins,away
11,Rams11,11/17/2024,13:00:00,Rams,Patriots,away
11,Browns11,11/17/2024,13:00:00,Browns,Saints,away
11,Ravens11,11/17/2024,13:00:00,Ravens,Steelers,away
11,Vikings11,11/17/2024,13:00:00,Vikings,Titans,away
11,Broncos11,11/17/2024,16:05:00,Broncos,Falcons,home
11,49ers11,11/17/2024,16:05:00,49ers,Seahawks,home
11,Falcons11,11/17/2024,16:05:00,Falcons,Broncos,away
11,Seahawks11,11/17/2024,16:05:00,Seahawks,49ers,away
11,Bills11,11/17/2024,16:25:00,Bills,Chiefs,home
11,Chargers11,11/17/2024,16:25:00,Chargers,Bengals,home
11,Chiefs11,11/17/2024,16:25:00,Chiefs,Bills,away
11,Bengals11,11/17/2024,16:25:00,Bengals,Chargers,away
11,Jets11,11/17/2024,20:20:00,Jets,Colts,home
11,Colts11,11/17/2024,20:20:00,Colts,Jets,away
11,Cowboys11,11/18/2024,20:15:00,Cowboys,Texans,home
11,Texans11,11/18/2024,20:15:00,Texans,Cowboys,away
12,Browns12,11/21/2024,20:15:00,Browns,Steelers,home
12,Steelers12,11/21/2024,20:15:00,Steelers,Browns,away
12,Panthers12,11/24/2024,13:00:00,Panthers,Chiefs,home
12,Bears12,11/24/2024,13:00:00,Bears,Vikings,home
12,Texans12,11/24/2024,13:00:00,Texans,Titans,home
12,Colts12,11/24/2024,13:00:00,Colts,Lions,home
12,Dolphins12,11/24/2024,13:00:00,Dolphins,Patriots,home
12,Giants12,11/24/2024,13:00:00,Giants,Buccaneers,home
12,Commanders12,11/24/2024,13:00:00,Commanders,Cowboys,home
12,Chiefs12,11/24/2024,13:00:00,Chiefs,Panthers,away
12,Vikings12,11/24/2024,13:00:00,Vikings,Bears,away
12,Titans12,11/24/2024,13:00:00,Titans,Texans,away
12,Lions12,11/24/2024,13:00:00,Lions,Colts,away
12,Patriots12,11/24/2024,13:00:00,Patriots,Dolphins,away
12,Buccaneers12,11/24/2024,13:00:00,Buccaneers,Giants,away
12,Cowboys12,11/24/2024,13:00:00,Cowboys,Commanders,away
12,Raiders12,11/24/2024,16:05:00,Raiders,Broncos,home
12,Broncos12,11/24/2024,16:05:00,Broncos,Raiders,away
12,Packers12,11/24/2024,16:25:00,Packers,49ers,home
12,Seahawks12,11/24/2024,16:25:00,Seahawks,Cardinals,home
12,49ers12,11/24/2024,16:25:00,49ers,Packers,away
12,Cardinals12,11/24/2024,16:25:00,Cardinals,Seahawks,away
12,Rams12,11/24/2024,20:20:00,Rams,Eagles,home
12,Eagles12,11/24/2024,20:20:00,Eagles,Rams,away
12,Chargers12,11/25/2024,20:15:00,Chargers,Ravens,home
12,Ravens12,11/25/2024,20:15:00,Ravens,Chargers,away
13,Lions13,11/28/2024,12:30:00,Lions,Bears,home
13,Bears13,11/28/2024,12:30:00,Bears,Lions,away
13,Cowboys13,11/28/2024,16:30:00,Cowboys,Giants,home
13,Giants13,11/28/2024,16:30:00,Giants,Cowboys,away
13,Packers13,11/28/2024,20:20:00,Packers,Dolphins,home
13,Dolphins13,11/28/2024,20:20:00,Dolphins,Packers,away
13,Chiefs13,11/29/2024,15:00:00,Chiefs,Raiders,home
13,Raiders13,11/29/2024,15:00:00,Raiders,Chiefs,away
13,Falcons13,12/1/2024,13:00:00,Falcons,Chargers,home
13,Bengals13,12/1/2024,13:00:00,Bengals,Steelers,home
13,Jaguars13,12/1/2024,13:00:00,Jaguars,Texans,home
13,Vikings13,12/1/2024,13:00:00,Vikings,Cardinals,home
13,Patriots13,12/1/2024,13:00:00,Patriots,Colts,home
13,Jets13,12/1/2024,13:00:00,Jets,Seahawks,home
13,Commanders13,12/1/2024,13:00:00,Commanders,Titans,home
13,Chargers13,12/1/2024,13:00:00,Chargers,Falcons,away
13,Steelers13,12/1/2024,13:00:00,Steelers,Bengals,away
13,Texans13,12/1/2024,13:00:00,Texans,Jaguars,away
13,Cardinals13,12/1/2024,13:00:00,Cardinals,Vikings,away
13,Colts13,12/1/2024,13:00:00,Colts,Patriots,away
13,Seahawks13,12/1/2024,13:00:00,Seahawks,Jets,away
13,Titans13,12/1/2024,13:00:00,Titans,Commanders,away
13,Panthers13,12/1/2024,16:05:00,Panthers,Buccaneers,home
13,Saints13,12/1/2024,16:05:00,Saints,Rams,home
13,Buccaneers13,12/1/2024,16:05:00,Buccaneers,Panthers,away
13,Rams13,12/1/2024,16:05:00,Rams,Saints,away
13,Ravens13,12/1/2024,16:25:00,Ravens,Eagles,home
13,Eagles13,12/1/2024,16:25:00,Eagles,Ravens,away
13,Bills13,12/1/2024,20:20:00,Bills,49ers,home
13,49ers13,12/1/2024,20:20:00,49ers,Bills,away
13,Broncos13,12/2/2024,20:15:00,Broncos,Browns,home
13,Browns13,12/2/2024,20:15:00,Browns,Broncos,away
14,Lions14,12/5/2024,20:15:00,Lions,Packers,home
14,Packers14,12/5/2024,20:15:00,Packers,Lions,away
14,Dolphins14,12/8/2024,13:00:00,Dolphins,Jets,home
14,Vikings14,12/8/2024,13:00:00,Vikings,Falcons,home
14,Giants14,12/8/2024,13:00:00,Giants,Saints,home
14,Eagles14,12/8/2024,13:00:00,Eagles,Panthers,home
14,Steelers14,12/8/2024,13:00:00,Steelers,Browns,home
14,Buccaneers14,12/8/2024,13:00:00,Buccaneers,Raiders,home
14,Titans14,12/8/2024,13:00:00,Titans,Jaguars,home
14,Jets14,12/8/2024,13:00:00,Jets,Dolphins,away
14,Falcons14,12/8/2024,13:00:00,Falcons,Vikings,away
14,Saints14,12/8/2024,13:00:00,Saints,Giants,away
14,Panthers14,12/8/2024,13:00:00,Panthers,Eagles,away
14,Browns14,12/8/2024,13:00:00,Browns,Steelers,away
14,Raiders14,12/8/2024,13:00:00,Raiders,Buccaneers,away
14,Jaguars14,12/8/2024,13:00:00,Jaguars,Titans,away
14,Cardinals14,12/8/2024,16:05:00,Cardinals,Seahawks,home
14,Seahawks14,12/8/2024,16:05:00,Seahawks,Cardinals,away
14,Rams14,12/8/2024,16:25:00,Rams,Bills,home
14,49ers14,12/8/2024,16:25:00,49ers,Bears,home
14,Bills14,12/8/2024,16:25:00,Bills,Rams,away
14,Bears14,12/8/2024,16:25:00,Bears,49ers,away
14,Chiefs14,12/8/2024,20:20:00,Chiefs,Chargers,home
14,Chargers14,12/8/2024,20:20:00,Chargers,Chiefs,away
14,Cowboys14,12/9/2024,20:15:00,Cowboys,Bengals,home
14,Bengals14,12/9/2024,20:15:00,Bengals,Cowboys,away
15,49ers15,12/12/2024,20:15:00,49ers,Rams,home
15,Rams15,12/12/2024,20:15:00,Rams,49ers,away
